,number,card,card_type,type,Place,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
24,4,Polluted Delta,,Lands,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
25,4,Scalding Tarn,,Lands,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
26,2,Steam Vents,,Lands,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
27,1,Swamp,,Lands,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
28,1,Watery Grave,,Lands,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
30,2,Engineered Explosives,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
31,1,Dispel,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
32,1,Surgical Extraction,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
33,3,Thoughtseize,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
34,2,Vampiric Link,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
35,1,Abbot of Keral Keep,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
36,2,Hurkyl's Recall,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
37,1,Spreading Seas,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
38,1,Blood Moon,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
39,1,Dismember,,Sideboard,4th,Grixis Delver,Anthony Laflamme,392 tix,"$ 1,167",332071,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
1,4,Legion Loyalist,,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
2,4,Goblin Piledriver,,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
3,2,Goblin Wardriver,,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
4,2,Mogg War Marshal,,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
5,4,Goblin Chieftain,,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
6,3,Goblin King,,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
7,2,Goblin Rabblemaster,,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
8,3,Goblin Heelcutter,,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
9,2,"Krenko, Mob Boss",,Creatures,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
11,1,Goblin Grenade,,Spells,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
12,4,Lightning Bolt,,Spells,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
13,1,Lightning Volley,,Spells,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
14,1,Reforge the Soul,,Spells,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
16,4,Impact Tremors,,Enchantments,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
17,1,Retreat to Valakut,,Enchantments,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
18,2,Splinter Twin,,Enchantments,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
20,18,Mountain,,Lands,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
21,2,"Valakut, the Molten Pinnacle",,Lands,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
23,3,Goblin Grenade,,Sideboard,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
24,1,Outnumber,,Sideboard,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
25,2,Anger of the Gods,,Sideboard,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
26,2,Blood Moon,,Sideboard,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
27,1,Goblin Rabblemaster,,Sideboard,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
28,2,Howl of the Horde,,Sideboard,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
29,1,Splinter Twin,,Sideboard,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
30,3,Stoke the Flames,,Sideboard,5th,Mono-Red Goblins,Aaron Bales,73 tix,$ 199,332072,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
1,4,Birds of Paradise,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
2,3,Noble Hierarch,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
3,3,Viscera Seer,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
4,2,"Anafenza, Kin-Tree Spirit",,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
5,2,"Melira, Sylvok Outcast",,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
6,1,Qasali Pridemage,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
7,2,Spellskite,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
8,2,Wall of Roots,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
9,4,Eternal Witness,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
10,4,Kitchen Finks,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
11,1,Murderous Redcap,,Creatures,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
13,2,Abrupt Decay,,Spells,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
14,4,Chord of Calling,,Spells,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
15,4,Collected Company,,Spells,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
17,2,Forest,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
18,3,Gavony Township,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
19,1,Godless Shrine,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
20,2,Overgrown Tomb,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
21,1,Plains,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
22,2,Razorverge Thicket,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
23,1,Swamp,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
24,2,Temple Garden,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
25,4,Verdant Catacombs,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
26,4,Windswept Heath,,Lands,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
28,1,Burrenton Forge-Tender,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
29,4,Path to Exile,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
30,2,Abrupt Decay,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
31,1,Qasali Pridemage,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
32,1,Scavenging Ooze,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
33,1,Spellskite,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
34,1,Eidolon of Rhetoric,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
35,1,Fiend Hunter,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
36,1,Flickerwisp,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
37,1,Orzhov Pontiff,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
38,1,Worship,,Sideboard,6th,Abzan Company,Greg Pawlik,271 tix,$ 955,332073,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
1,4,Snapcaster Mage,,Creatures,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
2,1,Stormbreath Dragon,,Creatures,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
4,1,Forked Bolt,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
5,4,Lightning Bolt,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
6,3,Serum Visions,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
7,3,Spell Snare,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
8,2,Vapor Snag,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
9,3,Mana Leak,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
10,3,Remand,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
11,2,Anger of the Gods,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
12,4,Cryptic Command,,Spells,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
14,2,Vedalken Shackles,,Artifacts,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
15,1,Batterskull,,Artifacts,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
17,2,Spreading Seas,,Enchantments,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
18,3,Blood Moon,,Enchantments,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
20,1,Desolate Lighthouse,,Lands,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
21,1,Flooded Strand,,Lands,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
22,10,Island,,Lands,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
23,1,Misty Rainforest,,Lands,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
24,1,Mountain,,Lands,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
25,4,Scalding Tarn,,Lands,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
26,2,Steam Vents,,Lands,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
27,2,Sulfur Falls,,Lands,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
29,1,Engineered Explosives,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
30,2,Relic of Progenitus,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
31,1,Spell Snare,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
32,2,Vandalblast,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
33,1,Spellskite,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
34,1,Spreading Seas,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
35,3,Sun Droplet,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
36,2,Counterflux,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
37,1,Vendilion Clique,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
38,1,Batterskull,,Sideboard,7th,U/R Control,Devon Horne,331 tix,"$ 1,148",332074,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
1,4,Dark Confidant,,Creatures,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
2,3,Scavenging Ooze,,Creatures,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
3,4,Tarmogoyf,,Creatures,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
4,2,Huntmaster of the Fells,,Creatures,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
6,4,Liliana of the Veil,,Planeswalkers,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
8,4,Inquisition of Kozilek,,Spells,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
9,4,Lightning Bolt,,Spells,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
10,2,Thoughtseize,,Spells,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
11,2,Abrupt Decay,,Spells,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
12,3,Terminate,,Spells,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
13,1,Jund Charm,,Spells,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
14,2,Kolaghan's Command,,Spells,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
15,1,Maelstrom Pulse,,Spells,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
17,4,Blackcleave Cliffs,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
18,1,Blood Crypt,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
19,3,Bloodstained Mire,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
20,1,Forest,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
21,1,Mountain,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
22,1,Overgrown Tomb,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
23,3,Raging Ravine,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
24,1,Stomping Ground,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
25,2,Swamp,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
26,1,Treetop Village,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
27,1,Twilight Mire,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
28,4,Verdant Catacombs,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
29,1,Wooded Foothills,,Lands,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
31,1,Duress,,Sideboard,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
32,2,Nihil Spellbomb,,Sideboard,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
33,1,Thoughtseize,,Sideboard,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
34,2,Ancient Grudge,,Sideboard,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
35,2,Anger of the Gods,,Sideboard,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
36,3,Fulminator Mage,,Sideboard,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
37,3,Kitchen Finks,,Sideboard,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
38,1,Shatterstorm,,Sideboard,8th,Jund,Chris Hair,631 tix,"$ 2,096",332075,2015-10-18,States Hopewell,modern,states-hopewell,states-hopewell-2015-10-18
1,3,Scavenging Ooze,,Creatures,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
2,4,Tarmogoyf,,Creatures,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
3,4,Siege Rhino,,Creatures,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
4,2,"Tasigur, the Golden Fang",,Creatures,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
6,3,Liliana of the Veil,,Planeswalkers,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
7,1,"Sorin, Solemn Visitor",,Planeswalkers,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
9,1,Slaughter Pact,,Spells,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
10,3,Inquisition of Kozilek,,Spells,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
11,3,Path to Exile,,Spells,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
12,4,Thoughtseize,,Spells,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
13,4,Abrupt Decay,,Spells,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
14,3,Lingering Souls,,Spells,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
15,1,Maelstrom Pulse,,Spells,1st,Abzan,Trevor Scheer,481 tix,"$ 1,497",332077,2015-10-18,States Columbia,modern,states-columbia,states-columbia-2015-10-18
